Source File,Content,Translated Content
00_bai_ganyo_starts_out_for_europe_bul.csv,"Помогнаха на бай Ганя да смъкне от плещите си агарянския ямурлук, наметна си той една белгийска мантия – и всички рекоха, че бай Ганьо е вече цял европеец.","They helped Bai Ganya take off his Agaryan yamurluk, he put on a Belgian robe – and everyone said that Bai Ganya was now a complete European."
00_bai_ganyo_starts_out_for_europe_bul.csv,– Хайде всеки от нас да разкаже нещо за бай Ганя.,– Let's each tell something about Uncle Ganya.
00_bai_ganyo_starts_out_for_europe_bul.csv,– Хайде – извикяха всички.,"“Come on,” everyone shouted."
00_bai_ganyo_starts_out_for_europe_bul.csv,– Аз ще разкажа.,– I will tell you.
00_bai_ganyo_starts_out_for_europe_bul.csv,"– Чакайте, аз зная повече...","– Wait, I know more..."
00_bai_ganyo_starts_out_for_europe_bul.csv,"– Не, аз, ти нищо не знаеш.","– No, I, you don't know anything."
00_bai_ganyo_starts_out_for_europe_bul.csv,"Дигна се, глъчкане. Най-сетне се съгласихме да почне Стати. И той почна.","He got up, there was a commotion. Finally we agreed that Stati should start. And he did."
01_bai_ganyo_sets_off_bul.csv,"Тренът ни влезе под огромния свод на пещенската гара. Ний с бай Ганя влязохме в бюфета. Като знаех, че тук ще се бавим цял час, аз преспокойно се разположих при една маса и си поръчах закуска и пиво. Наоколо ми свят - гъмжило! Па и хубав свят. Маджарите, знайте, не са ми твърде по сърце, ама, виж, маджарките – против тях нямам нищо. Залисан в шума, не забележих кога бай Ганьо изфирясал от ресторана заедно с дисагите си. Де бай Ганя? Чашата му празна. Огледах се наоколо, подирих с oчи из целия ресторан – няма го. Излязох вън – на перона, – бре тук бай Ганьо, там бай Ганьо – няма! Чудна работа! Помислих, че е отишъл във вагона да прегледа да не е отпънал някой килимчето му.","Our train entered under the huge arch of the Peshtna station. Uncle Ganya and I entered the buffet. Knowing that we would be here for an hour, I calmly settled down at a table and ordered breakfast and beer. The world around me was bustling! And a nice world. Hungarians, you know, are not to my liking, but, look, Hungarian women – I have nothing against them. Lost in the noise, I didn’t notice when Uncle Ganya left the restaurant with his saddlebags. Where was Uncle Ganya? His glass was empty. I looked around, searched the entire restaurant with my eyes – he was gone. I went out – onto the platform, – here Uncle Ganya, there Uncle Ganya – he was gone! What a strange thing! I thought he had gone into the carriage to check if someone had pulled up his rug."
01_bai_ganyo_sets_off_bul.csv,"Върнах се пак в ресторана. Има още половин час и повече до тръгването на трена. Пия си пиво и зяпам. Портиерът след всеки пет минути удря звънеца и равнодушно, с един ленив глас съобщава направлението на треновете: „хе-геш-фе-ке-те-хе-ги, киш-ке-реш, се-ге-дин, уй-ве-дек.“ Няколко англичани пътници го зяпнали в устата, а той, види се, навикнал на вниманието, което обръща със своеобразния си език, засмива се до уши и с още повисок и дрезгав глас продължава: „уй-ве-дек, киш-ке-реш, хе-геш-фе-ке-те-хе-ги“... – с натъртено ударение на всеки слог.","I went back to the restaurant. There was still half an hour or more until the train left. I drank my beer and stared. The porter rang the bell every five minutes and indifferently, in a lazy voice announced the direction of the trains: “he-gesh-fe-ke-te-he-gi, kish-ke-resh, se-ge-din, ui-ve-dek.” Several English passengers stared at him in the mouth, and he, apparently accustomed to the attention he was attracting with his peculiar language, laughed uproariously and continued in an even higher and hoarse voice: “ui-ve-dek, kish-ke-resh, he-gesh-fe-ke-te-he-gi”... – with a strong emphasis on each syllable."
01_bai_ganyo_sets_off_bul.csv,"Останаха още десетина минути до тръгването на трена. Аз се разплатих, заплатих и бай Ганьовото пиво и излязох на перона с намерение да го потърся. В това време под свода на гарата влизаше медлено един трен и, представете си, в един от вагоните на този трен, увиснал до половина на прозореца, лъсна бай Ганьо не можах да дочуя по причина на шипенето на локомотива. Аз разбрах каква е работата. Като се спря тренът, той скочи на земята, притече се при мене и ми разказа с голям примес от енергични псувни, които, с позволението ви, няма да повтарям, следующето:","There were still about ten minutes left until the train left. I paid, paid for Bai Ganyo's beer and went out onto the platform with the intention of looking for him. At that time, a train was slowly entering the station's archway and, imagine, in one of the carriages of this train, hanging halfway out the window, Bai Ganyo shone, I couldn't hear him because of the hissing of the locomotive. I understood what was going on. When the train stopped, he jumped to the ground, ran to me and told me the following, with a large admixture of energetic swearing, which, with your permission, I won't repeat, the following:"
01_bai_ganyo_sets_off_bul.csv,"– Остави се, брате, изпотрепах се от бяг...","– Leave it alone, brother, I'm shaking from running..."
01_bai_ganyo_sets_off_bul.csv,"– Какъв бяг, бай Ганьо?","– What kind of escape, Uncle Ganyo?"
01_bai_ganyo_sets_off_bul.csv,– А бе какъв бяг! Ти нали беше се зазяпал там в гостилницата...,– What a run! You were staring at me there in the inn...
01_bai_ganyo_sets_off_bul.csv,– Е? – отвръщам аз.,“Well?” I reply.
01_bai_ganyo_sets_off_bul.csv,"– Е? В туй време, разбираш ли, оня до вратата задрънка звънеца, па чух, че свирна машината, излизам – не можех да ти се обадя, – гледам, нашият трен потегли. Бре! Килимчето ми! Та като хукнах подир него, па бяг, па тичане – остави се! Хеле по едно време, гледам, поспря се, и аз – хоп! – та вътре. Един ми поизвика нещо сепнато - хекѐ-мекѐ – аз, знаеш, не си поплювам, пооблещих му се насреща, показах му килимчето, нейсе, разбран човек излезе. Позасмя се даже. Кой да знае, че ще се връщаме пак назад. Унгарска работа!","– Well? At that time, you see, the one by the door rang the bell, and I heard the machine whistle, I'm going out – I couldn't call you, – look, our train has left. Wow! My little rug! So when I ran after it, then ran, then ran – let it go! At one point, I look, it stopped, and I – hop! – and inside. Someone shouted something startled to me - heke-meke - I, you know, don't spit, I turned around to meet him, showed him the rug, well, a wise man came out. He even laughed. Who knows, we'll be going back again. Hungarian work!"
01_bai_ganyo_sets_off_bul.csv,"Аз, грешен човек, от душа се смях на бай Ганьовото приключение. Бедният! Тренът маневрирал да влезе в друга линия, а бай Ганьо тичал, горкият, цели три километра да го гони – зер килимчето му вътре!...","I, a sinful man, laughed heartily at Bai Ganyo's adventure. Poor thing! The train maneuvered to enter another line, and Bai Ganyo ran, poor thing, for three kilometers chasing him - because of his rug inside!..."
01_bai_ganyo_sets_off_bul.csv,"– Ами ти, от бързане, забравил си да заплатиш бирата си, бай Ганьо.","– Well, in your hurry, you forgot to pay for your beer, Uncle Ganyo."
01_bai_ganyo_sets_off_bul.csv,"– Голяма работа! Те малко ли ни скубят – отговори бай Ганьо с един тон, нетърпящ възражение.","""A big deal! They're just stealing from us,"" replied Bai Ganyo in a tone that brooked no objection."
01_bai_ganyo_sets_off_bul.csv,– Аз я платих.,– I paid for it.
01_bai_ganyo_sets_off_bul.csv,"– Имал си бол пари – платил си я. Я качвай се, качвяй се по-скоро да не припкаме пак подир машината – каза наставнически бай Ганьо.","“You had more money – you paid for it. Get in, get in quickly so we don't have to run after the machine again,” said Uncle Ganyo in a mentoring tone."
01_bai_ganyo_sets_off_bul.csv,"Влязохме във вагона. Бай Ганьо приклекна над дисагите си гърбом към мене, извади половин пита кашкавял, отряза си едно деликатно късче, отряза и един огромен резен хляб и почна дя мляска с един чудесен апетит, като издувяше със залъците си ту единия, ту другия образ и час по час опъваше шията си, за да може да преглътне сухия хлебец. Нахрани се бай Ганьо, пооригна се веднъж-дваж, изтърси трохите в шепата си, глътна и тях, измъмра под носа си: „Ех, да има сега иякой да ме почерпи едно винце“, седна насреща ми, засмя се добродушно и след като ме гледа умилно цяла минута, рече:","We got into the carriage. Bai Ganyo crouched over his saddlebags with his back to me, took out half a pie of cheese, cut off a delicate piece, also cut off a huge slice of bread and began to munch with a wonderful appetite, blowing out one face, then the other with his lips and hour after hour stretching his neck so that he could swallow the dry bread. Bai Ganyo ate, burped once or twice, shook the crumbs into his hand, swallowed them too, muttered under his breath: ""Oh, now someone should buy me a glass of wine,"" sat down opposite me, laughed good-naturedly and after looking at me affectionately for a whole minute, said:"
01_bai_ganyo_sets_off_bul.csv,"– Твоя милост, ходил ли си, обикалял ли си тъй повечко свят?","– Your Grace, have you ever traveled, have you ever traveled around the world so much?"
01_bai_ganyo_sets_off_bul.csv,"– Ходил съм, бай Ганьо, доста.","– I've been there, Uncle Ganyo, quite a bit."
01_bai_ganyo_sets_off_bul.csv,"– Ии, ами аз що свят съм изтръшнал! Ц... ц... ц... Ти остави Едрене, Цариград, ами във Влашко! Ти вярвяш ли? Туй Гюргево, Турну Магурели, Плоещ, Питещ, Бряила, Букурещ, Галац – чакай да не те слъжа, в Галац не помня бях ли, не бях ли – всички съм ги изредил.","– Oh, what a world I have been through! T... t... t... You left Edirne, Constantinople, what about Wallachia! Do you believe it? Here, Giurgiu, Turnu Magureli, Ploiesti, Piteşti, Braila, Bucharest, Galati – wait, I'm not lying to you, I don't remember if I was in Galati or not – I've listed them all."
01_bai_ganyo_sets_off_bul.csv,"Пътят ни до Виена мина еднообразно. Аз предлолих на бай Ганя една от книжките си, за да си съкрати времето с четене, но той любезно отклони предложението ми, защото бил чел доста на времето, и счете за по-практично да си дремне. Защо ще стои бадева буден; тьй и тъй е дал пари за железницата, поне да се наспи. И заспа. Заспа и захърка така, че не ти трябва да слушаш рева ня Атлаския лев.","Our journey to Vienna was uneventful. I offered Uncle Ganya one of my books to help him read, but he politely declined my offer, because he had read a lot in his time, and thought it more practical to take a nap. Why should he stay awake like that? He paid for the railway anyway, so he can at least get some sleep. And he fell asleep. He fell asleep and snored so much that you don't need to listen to the roar of the Atlas Lion."
01_bai_ganyo_sets_off_bul.csv,"Стигнахме във Виена и спряхме в традиционният хотел „Лондон“. Слугите снеха от колата моята чанта, поискаха да вземат и бай Ганьовите дисаги, но той от деликатност ли, кой знае, не им ги даде:","We arrived in Vienna and stopped at the traditional London Hotel. The servants took my bag from the car and asked to take Bai Gagne's saddlebags, but perhaps out of delicacy, who knows, he didn't give them to them:"
01_bai_ganyo_sets_off_bul.csv,"– Как ще им ги дадеш бе, братко, гюл е това – не е шега, миризма силна, – ще бръкне да извади някое шише – иди го гони сетне! Знам ги аз тях. Ти не ги гледай, че са такива   м а з н и   (бай Ганьо искаше да каже   у ч т и в и,   но тая дума е още нова в нашия лексикон, забрявя се), не гледай, че се увиват около тебе. Защо се увиват? Мигар доброто ти мислят? Айнц, цвай! Гут моргин, па все гледат да докопат нещо. Ако не – бакшиш! Аз защо пазя на излизане от хотела да се изнижамълчешката... Просеци! На тогоз крайцер, на оногоз крайцер – няма изкарване!","– How are you going to give them to them, brother, this is a gyul – it’s no joke, the smell is strong, – he’ll reach out to take out a bottle – go chase him then! I know them. Don’t look at them because they’re so sweet (bye Ganyo wanted to say polite, but that word is still new in our lexicon, I forget), don’t look at them because they’re wrapping themselves around you. Why are they wrapping themselves around you? Do they mean you well? Ainz, zwei! Gut morgin, they’re always trying to get something. If not – tip! Why do I keep quiet when leaving the hotel… Beggars! On this cruiser, on that cruiser – there’s no way out!"
01_bai_ganyo_sets_off_bul.csv,"Тъй като розовото масло, което носеше бай Ганьо, беше действително доста ценен предмет, аз му препоръчах да го предаде за съхранение на касата.","Since the rose oil that Bai Gagno was carrying was indeed a rather valuable item, I recommended that he hand it over to the cashier for safekeeping."
01_bai_ganyo_sets_off_bul.csv,"– На касата ли? – извика той с тон, в който звучеше съжаление за моята наивност. – Чудни сте вий, учените? Ами, че ти отде знаеш какви са онези на касата? Прибере ти гюла завий си края нанякъде... Е, сетне? Какво правваш? Остави се! Видиш ли този пояс? – И бай Ганьо си повдигна широката жилетка. – Всичките мускали ще ги натъпча вътре. Истина, тежичко малко, ама сигур.","– At the cash register? – he shouted in a tone that sounded sorry for my naivety. – Are you strange, you scientists? Well, how do you know what those at the cash register are? Put away your gun and wrap the end somewhere... Well, then? What are you doing? Leave it! Do you see this belt? – And Bai Ganyo lifted his wide vest. – I'll stuff all the musketeers inside. True, it's a little heavy, but sure."
01_bai_ganyo_sets_off_bul.csv,"И бай Ганьо се обърна гърбом към мене („свят много, хора всякакви, кой знае и туй хлапе какво е“) и почна да тъпче мускалите зад пояса си. Аз го поканих да обядваме.","And uncle Ganyo turned his back on me (""a lot of people, all kinds of people, who knows what this kid is like"") and started to trample the muskets behind his belt. I invited him to lunch."
01_bai_ganyo_sets_off_bul.csv,– Къде да обядваме?,– Where should we have lunch?
01_bai_ganyo_sets_off_bul.csv,"– Долу, в ресторана.","- Downstairs, in the restaurant."
01_bai_ganyo_sets_off_bul.csv,"– Благодаря, не ми се яде! Твоя милост иди, хални си. Аз ще те почакам тука.","– Thank you, I don't feel like eating! Your Grace, go, be nice. I'll wait for you here."
01_bai_ganyo_sets_off_bul.csv,"Уверен съм, че щом излязох из стаята, бай Ганю е отворил похлупците. Има си човекът закуска, защо ще си харчи парите за топло ядене – няма да умре от глад я!","I'm sure that as soon as I left the room, Uncle Ganyu opened the lids. The man has breakfast, why would he spend his money on a hot meal – he won't die of hunger!"
01_bai_ganyo_sets_off_bul.csv,"Заведох бай Ганя в кантората на един български търговец и го оставих там, а сам се качих на трамвая и отидох в Шенбрун. Възлизах на арката, изглеждах Виена и околностите й, обикалях алеите, зоологическата градиня и зяпах цял час маймунките и надвечер се върнах в хотела. Бай Ганьо беше в стаята. Той искаше да прикрие занятието си, но не успя и аз забележих, че пришиваше един нов джеб на вътрешната страна на антерията си. Той, опитен човек, носеше си и лятно време антерийка под френските дрехи: „Зиме хляб носи, лете дрехи носи“ – казват старите хора; тъй прави и бай Ганьо.","I took Bai Ganya to the office of a Bulgarian merchant and left him there, and I got on the tram myself and went to Schönbrunn. I went up to the arch, looked at Vienna and its surroundings, walked around the alleys, the zoological garden and stared at the monkeys for an hour and in the evening I returned to the hotel. Bai Ganya was in the room. He wanted to hide his occupation, but he couldn't, and I noticed that he was sewing a new pocket on the inside of his anterium. He, an experienced man, wore an anterium even in summer under his French clothes: ""In winter he brings bread, in summer he brings clothes"" - the old people say; so does Bai Ganya."
01_bai_ganyo_sets_off_bul.csv,– Седнах да се позакърпя малко – каза той сконфузено.,"“I sat down to mend myself a little,” he said, embarrassed."
01_bai_ganyo_sets_off_bul.csv,"– Ти някакъв джеб си пришиваш, трябва да си ударил нещо от розовото масло – подзех аз шеговито.","""You're sewing a pocket, you must have hit something with the rose oil,"" I joked."
01_bai_ganyo_sets_off_bul.csv,"– Кой, аз? Янлъш си! Защо ми е тук джеб? Джебове мно-о-го, само пари да има. Няма джеб,няма нищо, ами беше се поразпрала малко дрешката ми, та турих едно парцалче... Ти де беше? На разходка ли? Добре си направил.","– Who, me? You're a scoundrel! Why do I have a pocket here? Lots of pockets, as long as there's money. There's no pocket, there's nothing, but my clothes were a little tattered, so I put a rag in... Where were you? Out for a walk? You did well."
