text,love,joy,anger,sadness,fear,surprise,neutral
"“Hey, wait a minute, let me tell you about how we went with Bai Ganyo to the Prague Exhibition,” said Tsvyatko with a grin.",0,1,0,0,0,0,1
"“Bravo, Tsvyatko,” we all exclaimed. “Just what we’ve been waiting for!”",0,1,0,0,0,0,1
And Tsvyatko began.,0,0,0,0,0,0,1
"If you recall, we set off from Sofia with a train made up entirely of our own train cars, even our own locomotive. There were only first- and second-class cars, no third class. They were brand-spanking new, just imported from Europe, impeccably clean and comfortable. Each of the cars had both ﬁrst- and second-class compartments. There were lots of people, I’d guess around 160; I don’t remember exactly. There were old people and young people; men, women, and children; even babies (oh, those babies!).",0,0,0,0,0,0,1
"Who could equal us? We were filled with such pride traveling to the exhibition in our very own Bulgarian train. Let the Europeans see that Bulgaria isn’t some sleepy backwater, we told ourselves. Most of all, we were bursting with pride at our new, modern, and immaculately clean train cars. But do you think that our patriotic delight in the supremacy of our train cars or the thought that we would amaze Europe with our progress was destined to last long? As we left the station following a convivial send-off, and then as we crossed the Slivnitsa and Dragoman positions, the battlefields of our glorious victories during the Serbo-Bulgarian war, our enthusiasm grew in direct proportion to the emptying of the abundant wine bottles and food baskets that our practical travelers had packed. “Of course we’ve packed a few snacks. Why should we fork over our money to the Serbs?” cried out Bai Ganyo, warmed by both patriotism and domestic Pleven wine. But as we approached Tsaribrod, the last station before the Serbian–Bulgarian border, it began to grow dark outside, and as the passengers attempted to illuminate the cars, it became clear that the railroad management had forgotten to put the lamps in working order. As it grew quite dark, the children became frightened and began to bawl. Alas, then did our patriotic enthusiasm begin little by little to slip away, along with the last miles of Bulgarian territory. Some smiled sadly, others smirked with malicious amusement (we Bulgarians weren’t the only ones on board), still others grumbled, and even Bai Ganyo whispered in my ear, “A pig can’t tell the difference between mud and well water.” Some passengers even went so far as to spout unambiguous profanities in the direction of a certain foreigner, an employee in the management of our railways. Emboldened by this, Bai Ganyo shouted, “I just know that it’s not our fault. It’s those foreigners again, damn them! They’ve done this on purpose to make fools of us! That’s because they’re jealous! They’re all like that!”",0,1,0,0,0,0,0
"With these words, he glared so ominously at one of the foreigners traveling with us that the man got up and left for another compartment in a fit of coughing. When we stopped at the station in Tsaribrod, it was pitch dark in the rail cars. We couldn’t even see one another. At first, we were upset. Then we got angry. And finally, we got silly. Many jokes and sarcastic jibes were made at the expense of our railroad directors. People started shouting, “Hey there, you guys, give us some candles; the children are frightened.” “Hey, Mister, go buy us a bunch of candles and keep the change.” “How about giving each of us a wax candle, at least?” Bai Ganyo alone wouldn’t concede that Bulgarians could possibly be responsible for this mess.",0,0,0,0,0,0,1
"“See that one over there?” he said, pointing at one of our foreign fellow travelers after someone brought in a few candles. “He should be tarred and feathered and set on ﬁre. This is intolerable. Never mind the darkness; who cares about that, but we’ve lost face in front of the Serbs. See that one over there, that Serbian clerk? The guy’s laughing. Of course he’s laughing.” And Bai Ganyo’s patriotism, once aroused, wouldn’t permit him to put up with a Serb laughing at him. He scowled at the fellow.",0,1,0,0,0,0,1
"“You there! What’s so funny, huh?” And he wanted to jump out of the car and have it out with the Serb. What a hero!",0,1,0,0,0,0,0
"“Shh! Bai Ganyo, take it easy,” begged the passengers. “Don’t cause a scandal. Keep in mind that you’re entering Serbia.”",0,0,0,0,0,0,1
"“Yeah? So what if I am entering Serbia? What’re they going to do, scare me? What about Slivnitsa? Have they forgotten how they cried, ‘Retreat, brothers!’ at the battle of Slivnitsa?” Then an obscenity burst forth from Bai Ganyo’s mouth like a bomb.",0,1,0,0,0,1,0
"“What fault is it of that Serb over there that our cars are dark?” the others said, trying to calm him down.",0,1,0,0,0,0,1
"“Who? Him? I know his type,” answered Bai Ganyo, shaking his head.",0,0,0,0,0,0,1
"They distributed one candle to each compartment and even, I think, managed to set up a few lanterns and get them lit. The train started up again. The passengers dripped hot wax onto the window sills and stuck on the candles. This was the first Bulgarization of the new train cars. The second Bulgarization also took place that first night: all of the lavatories (if you’ll pardon the expression) were turned into cesspools.",0,0,0,0,0,0,1
"Somehow or other we managed to cross Serbia. But don’t think we managed it in peace and quiet. Oh no! Bulgarians are no fools! Bai Ganyo never missed a chance to take a jab at the Serbs, to remind them of Slivnitsa. In Nish and even in Belgrade he asked all the clerks and porters, “You’re really a Bulgarian, aren’t you? C’mon, admit it. You’re all Bulgarians, but you’re trying to turn yourselves into Serbs!”",0,0,1,0,0,0,1
"As we set off through Hungary, the wheels of one of the rail cars caught fire. May those railway technicians burn in hell! We were stopped for a long time. The railway workers ran back and forth, sprayed water all over the place, and I don’t know what all else. Were they fighting the flames or fanning them? Well, finally we got going again. As for the Hungarians, they just laughed. They’d seen it all before. Bulgarian travelers! Then the same car caught fire somewhere else. They left the damned thing behind to be repaired.",0,1,0,0,0,0,0
"Bai Ganyo had traveled before, experienced man that he was. So he explained to his less sophisticated fellow travelers, “Now we’re heading for Pest. After we pass Pest, we’ll reach Vienna. Prague’s after Vienna. I’ve been to all those places; I know ’em like the back of my hand.”",0,0,0,0,0,0,1
"We didn’t stop at the small stations, and at the larger ones we paused only long enough for them to give us clearance. The riches of Moravia caught everybody’s attention. The beautifully cultivated valleys, the exquisite gardens, the countless factories caused even Bai Ganyo to admit that Moravia had outdone our fatherland. “Well, we work, too, but these folks aren’t kidding around! They get on a job, and they get it done!” But then he realized that he had slipped into complimenting them, so he added, “Of course, it’s all for nothing. They do the work, and the Germans eat up all the proﬁts.”",0,0,0,0,0,1,1
"The trip didn’t pass without some comic relief. The four of us—me, Vancho, Filyo, and Ivanitsa’s son (I don’t believe you know him)—took a first-class compartment. Bai Ganyo settled into the neighboring second-class one, along with some traveling companions well stocked with provisions. Bai Ganyo had, in his haste, evidently forgotten to pack any food for the trip in his disagi. “Oh well, after all, we’re all Bulgarians; we’ll look after each other. From this one a little bread, from that one a bit of cheese—and a fellow can get by! You bet!” And in fact, Bai Ganyo did get by quite well. His companions treated him to food and drink; he treated them to his most fervent patriotism, seasoned with appetite and thirst. But all good things must come to an end. Finally, his companions’ provisions ran out; the wine jugs were emptied. (In order to avoid an egregious error I must correct myself: the wine jugs were emptied back while we were rushing past the battlefields of Slivnitsa and Dragoman, with cries of “Long live Bulgaria! Hurraaaaaah! Here, let me just wet my whistle! Hurraaaaaah!”)",0,0,0,0,0,0,1
"Bai Ganyo began to insinuate himself into our compartment. At first he cooked up various pretexts—either he needed some matches or a glass of cognac because his stomach was upset—and so, little by little, he made himself at home, settled in, and didn’t budge from our compartment. He just forgot about his friends, and why not? What good were they to him? They didn’t have a morsel left; everything had been eaten and drunk up. But, thank God, we always had something to nibble on; we bought food at the stations. Bai Ganyo didn’t want to let the opportunity to try various foreign goods slip by—just out of curiosity, of course.",0,0,0,0,0,0,1
"“What’s that there; is it grapes? Bravo! Lookit, give a teensy little bunch over here! Mmmmm! Tasty! Bravo!” His curiosity drove him to acquaint himself in asimilar fashion with our food, our cognac, and our tobacco.",0,1,0,0,0,0,0
"“That tobacco case there, is it made of silver from the Caucasus?” Bai Ganyo inquired as soon as he saw one of us preparing to light a cigarette.",0,1,0,0,0,0,1
"“No, it isn’t; it’s made in Vienna,” answered the owner of the tobacco case.",0,0,0,0,0,0,1
"“Is that so? Let me see it. Goodness me! And look, it has tobacco in it, too! It’s Bulgarian, isn’t it? Bravo! Hang on; just let me roll myself a cigarette. I’ve got cigarette papers. If anyone needs any, just ask—I’m here!”",0,1,0,0,0,0,1
"We were very much aware that he was here: by the smell of his boots, by the distinct odor of his sweaty body, and by his strategic advance toward total occupation of an entire row of seats. At first, he sat on the very edge of the seat; then he started getting a little more comfortable. Later, three of us had to sit on one row of seats, and Ivanitsa’s son had to scrunch up in one corner of the other, so that Bai Ganyo could stretch out horizontally. And he didn’t miss a trick. We conspired to ascertain how far Bai Ganyo’s need for comfort would take him, and he, candidly, began to feed our curiosity.",0,0,0,0,0,0,1
"“Listen, move over a bit so I can put up my other leg too. Ahh! That’s it! Good! Ahhh! Eh, goddamn! What a pleasure! Just listen to the locomotive: chugga-chugga, chugga-chugga. It’s ﬂying! I really like to stretch out like this. The other compartment is too crowded. And those fellows over there, they’re such simple folk. How can you have a conversation with them? What are you eating over there; is that a pear? Bravo! Let’s see if I can eat a whole pear lying down. Thanks. Where do you guys get this stuff?”",1,1,0,0,0,0,0
"“We buy it,” one of us answered, barely containing himself.",0,0,0,0,0,0,1
"“Is that so? Bravo!” said Bai Ganyo approvingly, his mouth full of succulent pear.“I love pears.”",1,0,0,0,0,0,0
"Soon Bai Ganyo began to doze, lulled by the monotonous chugging of the engine. Meanwhile, I sat there thinking. How do we get rid of this guy? Suddenly, a brilliant idea popped into my head. I winked to my friends and said, “What do you say, gentlemen? Shall I make us each a cup of coﬀee? Pass me the Primus stove and the fuel.”",0,1,0,0,0,0,0
"“Coﬀee?” exclaimed Bai Ganyo, and he jumped up from the bench as if he had been stung. “What a great idea!”",1,0,0,0,0,0,0
"“How can we make coffee? There’s no water,” piped up Ivanitsa’s son, artfully feigning disappointment.",0,0,0,1,0,0,0
"“Water, is it?” rejoined Bai Ganyo with the same enthusiasm. “If it’s water you need, just ask me! I’ll be back in a second!” And he dashed out of the compartment.",0,1,0,0,0,0,1
We were dying of laughter. Ivanitsa’s son stretched out and took up the whole row of seats. Bai Ganyo came back huffing and puffing more than he needed to. He had to show us what trial and tribulation he had endured for our benefit. In his hand he held a small jug.,0,1,0,0,0,0,1
"“Here, I found some, just like I told you I would! I scrounged around all the cars! Finally, I saw a jug and grabbed it. When I got it in my hand some woman started shouting after me, ‘Hey, bring back that water; it’s for my child!’ So I’m thinking, what excuse can I dream up, what can I tell her, and then it came to me. ‘Excuse me, madam, but someone back there has fainted.’ ‘Is that so?’ she says. ‘Yes.’ ‘Well, in that case, take the water to him quickly, but bring back the jug.’ What a sucker! Phew. I’m all sweaty. Come then, let’s have that coﬀee.”",0,0,0,0,0,0,1
"One of my friends, who could no longer contain his indignation, rebuked him. “Aren’t you ashamed of yourself, sir?”",0,0,1,0,0,0,0
"Bai Ganyo looked at him, his face drawn as if attempting to express his astonishment as clearly as possible, and then he said quite unexpectedly, “It occurred to me that you might be setting me up, but what the hell, I told myself. Well then, at least give me a cigarette and a spot of cognac.”",0,0,0,0,0,1,1
"We gave him a cigarette and a glass of cognac, and he went back to his own compartment, back to his “simple folk.” Soon we heard his voice through the compartment wall. “Those educated fellows are a sorry lot. I don’t know how their bosses put up with them. Just wait till your Bai Ganyo returns to Bulgaria. Then we’ll see who’s who.”",0,0,0,0,0,0,1
