text,anger,disgust,fear,joy,sadness,surprise,neutral
IPN_news8,0,0,0,0,0,0,1
"Classification of so-called small wineries is changing: a small winery will be defined as a wine-producing enterprise whose annual output does not exceed 25,000 liters of wine (16.04.2026, 16:39)",0,0,0,0,0,0,1
"The classification of so-called small wineries is being changed — a small winery will now be defined as a wine-producing enterprise whose annual production does not exceed 25,000 liters of wine.",0,0,0,0,0,0,1
"In addition, organoleptic inspection (sensory evaluation) will become mandatory for all categories of wine produced in Georgia with a protected designation of origin and intended for export or the domestic consumer market. This requirement will not apply to wine produced in small wineries.",0,0,0,0,0,0,1
"The relevant amendments are being introduced to the Law “On Vine and Wine,” prepared by the Ministry of Environmental Protection and Agriculture. The draft law has been submitted to Parliament by the government.",0,0,0,0,0,0,1
"According to the draft, labeling of certified alcoholic beverages intended for sale will become mandatory. The labeling will be carried out by the Wine Agency under a procedure established by the Minister of Environmental Protection and Agriculture.",0,0,1,0,0,0,1
"Under the current Law “On Vine and Wine,” a small winery was defined as a traditional family wine cellar with annual production not exceeding 40,000 liters. Under the changes, this threshold is reduced from 40,000 to 25,000 liters.",0,0,0,0,0,0,1
"The explanatory note attached to the draft law states: “Since the concept of a small winery and excessive production volume has effectively lost its meaning, there is a need to amend this term and reduce the production threshold for small wineries.",0,0,0,0,0,0,1
"It should be taken into account that such wine, through its organoleptic characteristics and taste qualities, has an overall impact on the reputation of Georgian wine both in domestic and international markets. In order to regulate this issue, it is important to introduce a new category — ‘natural wine’ instead of ‘home wine’ — which will not be subject to mandatory organoleptic testing only if it is produced in a small winery and if the label includes a specific mark designated for natural wine, ensuring that consumers are properly informed about the product.",0,0,1,0,0,0,1
"At the same time, it is important to maintain the quality and reputation of Georgian wine on both domestic and international markets. Accordingly, to ensure the supply of high-quality products to consumers, it becomes necessary for all categories of wine — both for export and for the local market — to be subject to organoleptic inspection.",0,0,1,0,0,0,1
"Based on the above, in order to regulate the issue and introduce appropriate mechanisms, it is considered advisable to introduce labeling for alcoholic beverages and to expand the scope of organoleptic inspection,” the Ministry of Environmental Protection and Agriculture explains in the explanatory note attached to the draft law.",0,0,1,0,0,0,1
