Article ID,Article Name,Paragraph,English - Google,English - Gemini,English - ChatGPT,Original,English,Google,Gemini,ChatGPT
3,Ge Mariam Kvrivishvili,1,0.99746895,0.9823005,0.9823004,"მარიამ ქვრივიშვილი - ჩინეთთან ხელი მოვაწერეთ თავისუფალი ვაჭრობის შეთანხმების განახლებულ ვერსიას, რაც კიდევ უფრო მეტად გააძლიერებს და გაამყარებს ორ ქვეყანას შორის სავაჭრო-ეკონომიკურ ურთიერთობებს (25.04.2026, 11:11)","Mariam Kvrivishvili - We have signed an updated version of the Free Trade Agreement with China, which will further strgethen and consolidate trade and economic relations between the two countries (25.04.2026, 11:27)","Mariam Kvrivishvili - We have signed an updated version of the Free Trade Agreement with China, which will further strengthen and consolidate trade and economic relations between the two countries (25.04.2026, 11:11)","Mariam Kvrivishvili - We signed an updated version of the Free Trade Agreement with China, which will further strengthen and solidify trade and economic relations between the two countries (25.04.2026, 11:11)","Mariam Kvrivishvili - We signed an updated version of the free trade agreement with China, which will further strengthen and solidify trade and economic relations between the two countries (25.04.2026, 11:11)"
3,Ge Mariam Kvrivishvili,2,0.99652636,0.9876029,0.98973644,"ჩინეთის სახალხო რესპუბლიკაში ვიზიტი წარმატებული შედეგებით დასრულდა, რაც დადებითად აისახება საქართველოსა და ჩინეთის ეკონომიკური კავშირების შემდგომ განვითარებაზე, - ამის შესახებ საქართველოს ეკონომიკისა და მდგრადი განვითარების მინისტრმა მარიამ ქვრივიშვილმა განაცხადა.","The visit to the People's Republic of China ended with successful results, which will positively affect the further development of economic ties between Georgia and China, - said Mariam Kvrivishvili, Minister of Economy and Sustainable Development of Georgia.","The visit to the People's Republic of China ended with successful results, which will positively affect the further development of economic ties between Georgia and China, - stated Mariam Kvrivishvili, Minister of Economy and Sustainable Development of Georgia.","""The visit to the People's Republic of China concluded with successful results, which will have a positive impact on the further development of economic ties between Georgia and China,"" stated Mariam Kvrivishvili, the Minister of Economy and Sustainable Development of Georgia.","The visit to the People’s Republic of China concluded with successful results, which will have a positive impact on the further development of economic ties between Georgia and China, - said Georgia’s Minister of Economy and Sustainable Development, Mariam Kvrivishvili."
3,Ge Mariam Kvrivishvili,3,0.9975521,0.9956054,0.983547,"მინისტრის თქმით, ვიზიტის ფარგლებში გაიმართა უმაღლესი დონის შეხვედრები ჩინეთის სახელმწიფო და კერძო სექტორის წარმომადგენლებთან. მარიამ ქვრივიშვილმა განსაკუთრებული აქცენტი გააკეთა ჩინეთის ეროვნული რეფორმებისა და განვითარების კომიტეტში გამართულ შეხვედრაზე, რომლის დროსაც მხარეები შეთანხმდნენ, რომ ჩამოყალიბდება ინვესტიციების მოსაზიდად საქართველო-ჩინეთს შორის დიალოგის მექანიზმი, რაც ხელს შეუწყობს ჩინეთიდან ინვესტიციების განხორციელებას.","According to the Minister, high-level meetings were held with representatives of the Chinese state and private sectors within the framework of the visit. Mariam Kvrivishvili placed special emphasis on the meeting held at the National Reform and Development Commission of China, during which the parties agreed to establish a dialogue mechanism between Georgia and China to attract investments, which will facilitate the implementation of investments from China.","According to the minister, high-level meetings were held with representatives of the Chinese state and private sectors during the visit. Mariam Kvrivishvili placed special emphasis on the meeting held at the National Reform and Development Committee of China, during which the parties agreed to establish a dialogue mechanism between Georgia and China to attract investments, which will facilitate the implementation of investments from China.","According to the minister, high-level meetings were held with representatives of China's state and private sectors within the framework of the visit. Mariam Kvrivishvili placed special emphasis on the meeting held at China's National Development and Reform Commission, during which the parties agreed to establish a Georgia-China dialogue mechanism to attract investments, which will facilitate the implementation of investments from China.","According to the minister, during the visit, high-level meetings were held with representatives of China’s public and private sectors. Mariam Kvrivishvili placed particular emphasis on the meeting held at China’s National Development and Reform Commission, during which the parties agreed to establish a Georgia-China dialogue mechanism to attract investment, which will help facilitate investment from China."
3,Ge Mariam Kvrivishvili,4,0.99254835,0.9895573,0.9900637,"„კომერციის მინისტრთან ერთად ხელი მოვაწერე თავისუფალი ვაჭრობის შეთანხმების განახლებულ ვერსიას, რაც კიდევ უფრო მეტად გააძლიერებს და გაამყარებს ორ ქვეყანას შორის სავაჭრო-ეკონომიკურ ურთიერთობებს. გარდა ამისა, მივიღეთ უმნიშვნელოვანესი გადაწყვეტილება, რომ შეიქმნება მთავრობათაშორისი ფორმატი, რომელიც უზრუნველყოფს უმსხვილესი ინვესტიციების მოზიდვის, ისევე, როგორც სტრატეგიულ პროექტებში ჩინური კომპანიების ჩართულობის მხარდაჭერას"", - აღნიშნა მარიამ ქვრივიშვილმა.","""Together with the Minister of Commerce, I signed an updated version of the Free Trade Agreement, which will further strgethen and consolidate trade and economic relations between the two countries. In addition, we made a very important decision to create an intergovernmental format that will ensure the attraction of the largest investments, as well as support for the involvement of Chinese companies in strategic projects,"" - said Mariam Kvrivishvili.","""Together with the Minister of Commerce, I signed an updated version of the Free Trade Agreement, which will further strengthen and consolidate trade and economic relations between the two countries. In addition, we made a very important decision to create an intergovernmental format that will ensure the attraction of the largest investments, as well as support for the involvement of Chinese companies in strategic projects,"" Mariam Kvrivishvili noted.","""Together with the Minister of Commerce, I signed the updated version of the Free Trade Agreement, which will further strengthen and solidify the trade and economic relations between the two countries. In addition, we made a crucial decision to establish an intergovernmental format that will ensure the attraction of major investments, as well as support the involvement of Chinese companies in strategic projects,"" noted Mariam Kvrivishvili.","“Together with the Minister of Commerce, I signed the updated version of the free trade agreement, which will further strengthen and solidify trade and economic relations between the two countries. In addition, we made a very important decision to establish an intergovernmental format that will ensure the attraction of major investments, as well as support the involvement of Chinese companies in strategic projects,” Mariam Kvrivishvili noted."
3,Ge Mariam Kvrivishvili,5,0.9971596,0.98042417,0.97886145,"მინისტრმა ასევე ყურადღება გაამახვილა ჩინეთის ავიაკომპანია China Eastern Airlines - ის ხელმძღვანელებთან გამართულ შეხვედრაზე, რომელზეც მიღებულ იქნა გადაწყვეტილება 15 ივლისიდან შანხაი - თბილისის მიმართულებით პირდაპირი ავიამიმოსვლის დაწყების შესახებ. როგორც მარიამ ქვრივიშვილმა აღნიშნა, შანხაის მიმართულება, ისევე როგორც ზოგადად ჩინეთის ტურისტული ბაზარი საქართველოსთვის სტრატეგიულია და პირდაპირი საჰაერო მიმოსვლა ხელს შეუწყობს ქვეყანაში როგორც ტურისტული ნაკადების ზრდას, ისე მსყიდველუნარიანი ვიზიტორების ჩამოსვლას.","The Minister also drew attention to the meeting with the leaders of the China Eastern Airlines, at which a decision was made to launch direct flights from Shanghai to Tbilisi from July 15. As Mariam Kvrivishvili noted, the Shanghai direction, as well as the Chinese tourist market in general, is strategic for Georgia, and direct air traffic will contribute to both the growth of tourist flows and the arrival of visitors with purchasing power in the country.","The Minister also drew attention to the meeting with the leaders of China Eastern Airlines, at which a decision was made to launch direct flights from Shanghai to Tbilisi from July 15. As Mariam Kvrivishvili noted, the Shanghai route, as well as the Chinese tourist market in general, is strategic for Georgia, and direct air traffic will contribute to both the growth of tourist flows and the arrival of visitors with purchasing power in the country.","The Minister also highlighted the meeting held with the executives of the Chinese airline China Eastern Airlines, during which a decision was made to launch direct flights on the Shanghai-Tbilisi route starting July 15. As Mariam Kvrivishvili noted, the Shanghai destination, as well as the Chinese tourism market in general, is strategic for Georgia, and direct air service will contribute to both the growth of tourist flows and the arrival of high-spending visitors to the country.","The Minister also drew attention to the meeting held with the management of the Chinese airline China Eastern Airlines, at which a decision was made to launch direct flights on the Shanghai–Tbilisi route starting July 15. As Mariam Kvrivishvili noted, the Shanghai route, as well as the Chinese tourism market in general, is strategic for Georgia, and direct air service will contribute both to an increase in tourist flows to the country and to the arrival of high-spending visitors."
3,Ge Mariam Kvrivishvili,6,0.971323,0.98142564,0.9759104,"„ეს გადაწყვეტილება გააძლიერებს ხალხთაშორის ურთიერთობებს, ეკონომიკურ კავშირებს და სტიმულს მისცემს ჩვენი ქვეყნის ტურიზმის ინდუსტრიის გაძლიერებას, დივერსიფიცირებას და დამატებითი შემოსავლების გენერირებას ჩვენს ქვეყანაში უშუალოდ ტურიზმის ინდუსტრიიდან"", - განაცხადა მარიამ ქვრივიშვილმა.","""This decision will strgethen people-to-people relations, economic ties and provide an incentive to strgethen our country's tourism industry, diversify it and generate additional income in our country directly from the tourism industry,"" said Mariam Kvrivishvili.","""This decision will strengthen people-to-people relations, economic ties, and provide an incentive to strengthen, diversify, and generate additional revenue in our country directly from the tourism industry,"" said Mariam Kvrivishvili.","""This decision will strengthen people-to-people relations and economic ties, and will provide a stimulus for the strengthening and diversification of our country's tourism industry, as well as the generation of additional revenue directly from the tourism sector in our country,"" stated Mariam Kvrivishvili.","“This decision will strengthen people-to-people relations, economic ties, and provide an impetus for strengthening and diversifying our country’s tourism industry, as well as generating additional revenue in our country directly from the tourism industry,” said Mariam Kvrivishvili."
3,Ge Mariam Kvrivishvili,7,0.9868206,0.9880935,0.99026155,"ვიზიტის ფარგლებში გაიმართა შეხვედრები ჩინეთის უმსხვილეს ენერგეტიკულ და ავტომობილების მწარმოებელ კომპანიებთან. როგორც მარიამ ქვრივიშვილმა აღნიშნა, შეხვედრებზე განიხილეს საქართველოს საინვესტიციო შესაძლებლობები, რაც ხელს შეუწყობს ჩინეთიდან დამატებითი ინვესტიციების მოზიდვას, ადგილობრივი წარმოების განვითარებას და ენერგეტიკის სექტორის გაძლიერებას.","Meetings were held with China's largest energy and automobile manufacturing companies within the framework of the visit. As Mariam Kvrivishvili noted, the meetings discussed Georgia's investment opportunities, which will contribute to attracting additional investments from China, developing local production and strgethening the energy sector.","During the visit, meetings were held with China's largest energy and automobile manufacturing companies. As Mariam Kvrivishvili noted, the meetings discussed Georgia's investment opportunities, which will help attract additional investments from China, develop local production, and strengthen the energy sector.","Within the framework of the visit, meetings were held with China's largest energy and automobile manufacturing companies. As Mariam Kvrivishvili noted, Georgia's investment opportunities were discussed at the meetings, which will facilitate the attraction of additional investments from China, the development of local production, and the strengthening of the energy sector.","During the visit, meetings were held with China’s largest energy and automotive manufacturing companies. As Mariam Kvrivishvili noted, the meetings discussed Georgia’s investment opportunities, which will help attract additional investment from China, develop local production, and strengthen the energy sector."
3,Good Friday,1,0.85731083,0.85731083,0.68985987,წითელი პარასკევი სამების საკათედრო ტაძარში,Good Friday at Holy Trinity Cathedral in pictures,Good Friday at the Holy Trinity Cathedral,Good Friday at the Holy Trinity Cathedral,Red Friday at the Holy Trinity Cathedral
3,Good Friday,2,0.9957539,0.9486976,0.9959911,"დღეს წითელი პარასკევია – ვნების კვირეულის ყველაზე მძიმე დღე. მართლმადიდებელი ეკლესია იესო ქრისტეს ჯვარცმას, ჯვრიდან გარდამოხსნასა და დაკრძალვას იხსენებს.","Today is Good Friday, the most solemn day of Holy Week. The Orthodox Church commemorates the crucifixion of Jesus Christ, His descent from the Cross, and His burial.","Today is Good Friday – the most solemn day of Holy Week. The Orthodox Church commemorates the crucifixion, removal from the cross, and burial of Jesus Christ.","Today is Good Friday – the most solemn day of Passion Week. The Orthodox Church commemorates the crucifixion, the deposition from the Cross, and the burial of Jesus Christ.","Today is Good Friday — the most solemn day of Holy Week. The Orthodox Church commemorates the crucifixion of Jesus Christ, His removal from the cross, and His burial."
3,Good Friday,3,0.7862127,0.9282398,0.91489637,"საპატრიარქო ტახტის მოსაყდრე, მიტროპოლიტი შიო ყოვლადწმინდა სამების სახელობის საპატრიარქო ტაძარში დიდ ჟამნობას, მწუხრის ჟამს და გარდამოხსნის გამოსვენებას ასრულებს.","The Locum Tenens of the Patriarchal Throne, Metropolitan Shio, is conducting the Royal Hours, Vespers, and the Rite of the Descent from the Cross at the Patriarchal Cathedral of the Holy Trinity.","The Patriarchal Throne, Metropolitan Shio, celebrates Great Liturgy, Vespers, and the Intercession of the Transfiguration in the Holy Trinity Patriarchal Cathedral.","The Locum Tenens of the Patriarchal Throne, Metropolitan Shio, is officiating the Royal Hours, Vespers, and the bringing out of the Epitaphios (Shroud) at the Holy Trinity Patriarchal Cathedral.","The locum tenens of the Patriarchal Throne, Metropolitan Shio, is performing the Great Hours, Vespers, and the Procession of the Epitaphios at the Patriarchal Cathedral of the Holy Trinity."
