Source File,Content
01_ge_original_IPN_news.csv,IPN_news1
01_ge_original_IPN_news.csv,"ირაკლი კობახიძე - ისე როგორც პრემიერს, სახელმწიფო მინისტრსაც მთლიანად მთავრობის ადმინისტრაციის რესურსი მოემსახურება, აქ საქილიკო არაფერია, თუმცა ოპოზიცია აქაც ახერხებს  სპეკულაციებს - ეს მათი სახეა და არ არის საინტერესო (28.04.2026, 16:17)"
01_ge_original_IPN_news.csv,"ისევე როგორც პრემიერ-მინისტრს, ვიცე-პრემიერსაც, სამართალდამცავი ორგანოების კოორდინაციის საკითხებში სახელმწიფო მინისტრსაც მთლიანად მთავრობის ადმინისტრაციის რესურსი მოემსახურება - თავადაც ხვდებით, აქ საქილიკო არაფერია, თუმცა ოპოზიცია აქაც ახერხებს სპეკულაციების გავრცელებას - ეს მათი სახეა და არ არის საინტერესო, - ამის შესახებ პრემიერ-მინისტრმა, ირაკლი კობახიძემ ჟურნალისტებთან განაცხადა."
01_ge_original_IPN_news.csv,"მისივე თქმით, ახალი სტრუქტურული ერთეულის შექმნის მიზანი სამართალდამცავი სისტემის კიდევ უფრო მეტად გაძლიერებაა."
01_ge_original_IPN_news.csv,"„ეს ცვლილებები ემსახურებოდა სამართალდამცავი სისტემის კიდევ უფრო მეტად გაძლიერებას. გაჩნდა ახალი რგოლი - კოორდინაციის რგოლი. ამ ფუნქციას მამუკა მდინარაძე მანამდეც ასრულებდა, მაგრამ კონკრეტული უწყებიდან. ეს იყო ფაქტობრივი მდგომარეობა. ჩვენ გადავწყვიტეთ იმ მოცემულობის ფორმალიზება, რაც სწორია, რაც მანამდეც იყო ჩამოყალიბებული. რეალურად, იქნება დამოუკიდებელი სტრუქტურები. ბუნებრივია, ეს არის შინაგან საქმეთა სამინისტრო, სახელმწიფო უსაფრთხოების სამსახური, სახელმწიფო დაცვის სპეციალური სამსახური და მათ საერთო კოორდინაციას უზრუნველყოფს. სახელმწიფო მინისტრი ახალი თანამდებობა არის ამისთვის განკუთვნილი, რაც კიდევ უფრო გააძლიერებს დანაშაულის წინააღმდეგ ბრძოლას, საზოგადოებრივი წესრიგის დაცვაზე ზრუნვას. თქვენ იცით რომ ამ ერთი წლის განმავლობაში ყველა მიმართულებით გვაქვს ფუნდამენტური ცვლილებები,“ - განაცხადა კობახიძემ."
01_ge_original_IPN_news.csv,"ამასთან, პრემიერმა პატიმრობაში მყოფ სუს-ის ყოფილ ხელმძღვანელ, გრიგოლ ლილუაშვილსა და მამუკა მდინარაძეს შორის პარალელების შესახებ დასმულ კითხვას უპასუხა და აღნიშნა, რომ „მაშინ სხვაგვარად წარიმართა პროცესები, ახლა სხვანაირად წარიმართება“."
01_ge_original_IPN_news.csv,"„მოცემულობა არის რადიკალურად განსხვავებული. კონტექსტი არის სრულიად განსხვავებული. მამუკა მდინარაძე არის გამორჩეულად წარმატებული წევრი ჩვენს გუნდში. კონკრეტულად სახელმწიფო უსაფრთხოების სამსახურში მისი საქმიანობა იყო გამორჩეულად წარმატებული, მათ შორის, კორუფციის მიმართულებით, ტერორისტული დანაშაულის მიმართულებით. ძალიან მნიშვნელოვანი სისტემური ცვლილებები განახორციელა. ეს არის განსხვავებული ფონი, შესაბამისად, განსხვავებულ ფონზე სამომავლო განვითარებაც იქნება განსხვავებული,“ - განაცხადა კობახიძემ."
01_ge_original_IPN_news.csv,"პარლამენტი დაჩქარებული წესით იხილავს კანონის პროექტს, რომლის საფუძველზეც საქართველოს მთავრობის შემადგენლობაში სამართალდამცავი ორგანოების კოორდინაციის საკითხებში სახელმწიფო მინისტრის თანამდებობის შემოღება ხდება. პროექტის მიხედვით, ახალი სახელმწიფო მინისტრის საქმიანობას მატერიალურ-ტექნიკურად და ორგანიზაციულად მთავრობის ადმინისტრაცია უზრუნველყოფს."
01_ge_original_IPN_news.csv,"მთავრობის საპარლამენტო მდივნის ვახტანგ ბაჩიაშვილის ინფორმაციით, სახელმწიფო მინისტრის უფლებამოსილებები მთავრობის დადგენილებაში დაზუსტდება. მისივე თქმით, სამართალდამცავი ორგანოების კოორდინაციის საკითხებში სახელმწიფო მინისტრი მთავრობის ადმინისტრაციის შენობაში განთავსდება."
02_ge_original_IPN_news.csv,IPN_news2
