,Article ID,Article Name,Paragraph,Georgian,English,Google,Gemini,ChatGPT,English - Google,English - Gemini,English - ChatGPT
0,1,Deputy Economy Minister,1,1tv_news1,1tv_news1,1tv_news1,"It appears you have provided a reference identifier (**1tv_news1**) rather than the actual Georgian text. In professional translation contexts, this ID typically refers to content from the **First Channel of Georgia (1TV)**.

If you intended to translate the identifier itself or the brand it represents:

**1TV News 1** (or **First Channel News 1**)

***

**Note:** If you have a specific news article or a paragraph of Georgian text associated with this ID that you would like me to translate, please paste the content here. I will ensure the translation is professional and maintains all Markdown formatting.",1tv_news1,,,
1,1,Deputy Economy Minister,2,"ვახტანგ ცინცაძე - აზიის განვითარების ბანკის ანგარიშში ხაზგასმულია საქართველოს მიმზიდველი ბიზნესგარემო, ასევე მიმდინარე ინფრასტრუქტურული პროექტები, მათ შორის საპორტო და სარკინიგზო მიმართულებით",Deputy Economy Minister: ADB highlights Georgia's favourable business climate and infrastructure ambitions as growth forecast upgraded,"Vakhtang Tsintsadze - The Asian Development Bank report highlights Georgia's attractive business environment, as well as ongoing infrastructure projects, including port and railway projects","Vakhtang Tsintsadze - The Asian Development Bank report highlights Georgia's attractive business environment, as well as ongoing infrastructure projects, including those in the port and railway sectors.","Vakhtang Tsintsadze - The Asian Development Bank report highlights Georgia’s attractive business environment, as well as ongoing infrastructure projects, including in the port and railway sectors.",,,
2,1,Deputy Economy Minister,3,"15:29, 10.04.2026","15:43, 10.04.2026","15:29, 10.04.2026","15:29, 10.04.2026","15:29, 10.04.2026",,,
3,1,Deputy Economy Minister,4,"აზიის განვითარების ბანკმა აზიის ეკონომიკური პერსპექტივების ანგარიში გამოაქვეყნა, რომლის თანახმად, 2025 წელს ეკონომიკური ზრდა იყო საკმაოდ მაღალი – 7.5 პროცენტი, ხოლო 2026 წელს, მიმდინარე კონფლიქტების ფონზე, აზიის განვითარების ბანკი ელოდება, რომ საქართველოში ეკონომიკური ზრდა 5.5 პროცენტი იქნება, რაც წინა წლის პროგნოზთან შედარებით 0.5 პროცენტული პუნქტით გაუმჯობესებული მაჩვენებელია, – ამის შესახებ ეკონომიკისა და მდგრადი განვითარების მინისტრის მოადგილემ, ვახტანგ ცინცაძემ განაცხადა.","“The Asian Development Bank (ADB) has published its Asian Economic Outlook report, highlighting Georgia’s strong economic growth of 7.5% in 2025. For 2026, against a backdrop of ongoing regional conflicts, the ADB projects growth of 5.5 per cent, an improvement of 0.5 percentage points on the previous forecast,” Vakhtang Tsintsadze, Deputy Minister of Economy and Sustainable Development, has stated.","The Asian Development Bank has published the Asian Economic Prospects Report, according to which economic growth in 2025 was quite high – 7.5 percent, and in 2026, against the backdrop of ongoing conflicts, the Asian Development Bank expects economic growth in Georgia to be 5.5 percent, which is an improvement of 0.5 percentage points compared to the previous year's forecast, - said Deputy Minister of Economy and Sustainable Development Vakhtang Tsintsadze.","The Asian Development Bank has published the Asian Development Outlook report, according to which economic growth in 2025 was quite high at 7.5 percent. For 2026, against the backdrop of ongoing conflicts, the Asian Development Bank expects economic growth in Georgia to be 5.5 percent, which is an improvement of 0.5 percentage points compared to the previous forecast—this was stated by the Deputy Minister of Economy and Sustainable Development, Vakhtang Tsintsadze.","The Asian Development Bank has published the Asian Economic Outlook report, according to which economic growth in 2025 was quite high at 7.5 percent, while in 2026, amid ongoing conflicts, the Asian Development Bank expects economic growth in Georgia to be 5.5 percent, which is an improvement of 0.5 percentage points compared with the previous year’s forecast,” said Vakhtang Tsintsadze, Deputy Minister of Economy and Sustainable Development.",,,
4,1,Deputy Economy Minister,5,"როგორც მინისტრის მოადგილემ აღნიშნა, აზიის განვითარების ბანკი ყურადღებას ამახვილებს მიმდინარე ანგარიშის დეფიციტის რეკორდულად დაბალ დონემდე შემცირებაზე, ასევე საერთაშორისო რეზერვების რეკორდულად მაღალ მაჩვენებელზე.","The Deputy Minister noted that the report draws particular attention to Georgia’s current account deficit, having fallen to a record low, alongside international reserves reaching a record high.","As the Deputy Minister noted, the Asian Development Bank is focusing on reducing the current account deficit to a record low, as well as on the record high level of international reserves.","As the Deputy Minister noted, the Asian Development Bank highlights the reduction of the current account deficit to a record low, as well as the record high level of international reserves.","As the Deputy Minister noted, the Asian Development Bank focuses on reducing the current account deficit to a record low level, as well as on the record-high level of international reserves.",,,
5,1,Deputy Economy Minister,6,"ვახტანგ ცინცაძის განცხადებით,  2026 წელს აზიის განვითარების ბანკი ელოდება, რომ საქართველოში საშუალო ინფლაციის დონე 3.8 პროცენტი იქნება, რაც წინა წელთან შედარებით შემცირებული მაჩვენებელია.","For 2026, the ADB expects average inflation in Georgia to stand at 3.8 per cent, reducing the previous year’s figure.","According to Vakhtang Tsintsadze, in 2026, the Asian Development Bank expects the average inflation rate in Georgia to be 3.8 percent, which is a decrease compared to the previous year.","According to Vakhtang Tsintsadze, the Asian Development Bank expects the average inflation rate in Georgia to be 3.8 percent in 2026, which is a decrease compared to the previous year.","According to Vakhtang Tsintsadze, in 2026 the Asian Development Bank expects the average inflation rate in Georgia to be 3.8 percent, which is a lower figure compared to the previous year.",,,
6,1,Deputy Economy Minister,7,"„აზიის განვითარების ბანკი ასევე ხაზგასმით აღნიშნავს, რომ საქართველო ისწრაფვის, გახდეს სავაჭრო, ლოგისტიკური და სატრანსპორტო ჰაბი. ამ მიმართულებით ყურადღება მახვილდება არაერთ რეფორმაზე, რომელიც ხელს უწყობს, მათ შორის, საბაჟო და სხვა პროცედურების გაუმჯობესებას. ბანკი ასევე ხაზს უსვამს იმ ინფრასტრუქტურულ მიღწევებს, რომლებიც საქართველოს გააჩნია როგორც საპორტო, ასევე სარკინიგზო მიმართულებით“, – განაცხადა ვახტანგ ცინცაძემ.","“The Asian Development Bank also emphasises that Georgia is striving to establish itself as a trade, logistics, and transport hub. In this regard, the report highlights a series of reforms facilitating improvements to customs procedures and related processes. The Bank further underscores Georgia’s infrastructure achievements, both in port development and rail connectivity,” said Vakhtang Tsintsadze.","""The Asian Development Bank also emphasizes that Georgia aspires to become a trade, logistics and transport hub. In this direction, attention is focused on a number of reforms that contribute, among others, to the improvement of customs and other procedures. The Bank also emphasizes the infrastructural achievements that Georgia has in both the port and railway sectors,"" said Vakhtang Tsintsadze.","“The Asian Development Bank also emphasizes that Georgia aspires to become a trade, logistics, and transport hub. In this regard, attention is focused on numerous reforms that facilitate, among other things, the improvement of customs and other procedures. The Bank also highlights the infrastructural achievements that Georgia has in both the port and railway sectors,” stated Vakhtang Tsintsadze.","“The Asian Development Bank also emphasizes that Georgia is striving to become a trade, logistics, and transport hub. In this regard, attention is drawn to a number of reforms that contribute, among other things, to the improvement of customs and other procedures. The bank also highlights the infrastructure achievements that Georgia has in both the port and railway sectors,” said Vakhtang Tsintsadze.",,,
7,1,Deputy Economy Minister,8,"ეკონომიკის მინისტრის მოადგილის ინფორმაციით, ADB-ს ანგარიშში ხაზგასმულია საქართველოში არსებული მიმზიდველი ბიზნესგარემო, ყურადღება გამახვილებულია თავისუფალ სავაჭრო შეთანხმებებზე, რომლებიც საქართველოს გააჩნია, ასევე იმ მექანიზმებზე, რომლებიც უზრუნველყოფს ინვესტორთა დაცულობას, რაც, საბოლოო ჯამში, ზრდის როგორც ადგილობრივი, ისე საერთაშორისო ინვესტორების  ნდობას და მიმზიდველობას საქართველოსადმი.","According to the Deputy Minister, the ADB report singles out Georgia’s attractive business environment for particular praise, drawing attention to the country’s free trade agreements, as well as the mechanisms in place to safeguard investors’ interests, all of which, taken together, serve to strengthen the confidence of both domestic and international investors and enhance Georgia’s appeal as an investment destination.","According to the Deputy Minister of Economy, the ADB report highlights the attractive business environment in Georgia, focusing on the free trade agreements that Georgia has, as well as the mechanisms that ensure investor protection, which ultimately increases the trust and attractiveness of both local and international investors in Georgia.","According to the Deputy Minister of Economy, the ADB report highlights Georgia's attractive business environment, focusing on the free trade agreements the country possesses, as well as the mechanisms that ensure investor protection. Ultimately, this increases the confidence of both local and international investors and enhances Georgia's attractiveness.","According to the Deputy Minister of Economy, the ADB report highlights the attractive business environment in Georgia, with attention focused on the free trade agreements that Georgia has, as well as the mechanisms that ensure investor protection, which ultimately increases the confidence and attractiveness of Georgia for both local and international investors.",,,
8,1,Ge Original Ipn News,1,IPN_news1,IPN_news1,IPN_news1,"It appears you have provided a reference label (**IPN_news1**) rather than the actual Georgian text.

If you intended for me to translate a specific news article from **InterPressNews (IPN)**, please provide the content. However, if you are referring to the standard news entry often associated with this identifier in translation datasets, here is the translation:

### IPN_news1

**Georgian:**
საქართველოს პრემიერ-მინისტრი ირაკლი ღარიბაშვილი ოფიციალური ვიზიტით უნგრეთის რესპუბლიკას ეწვია. მთავრობის მეთაურს ბუდაპეშტის საერთაშორისო აეროპორტში უნგრეთის ეკონომიკური განვითარების მინისტრი მარტონ ნადი დახვდა.

**English:**
The Prime Minister of Georgia, Irakli Garibashvili, has arrived in the Republic of Hungary for an official visit. The Head of Government was welcomed at Budapest International Airport by the Minister of Economic Development of Hungary, Márton Nagy.

***

**Note:** If you have a different text or a more recent article you would like translated, please paste it below, and I will provide a professional translation while preserving your Markdown formatting.",IPN_news1,,,
9,1,Ge Original Ipn News,2,"ირაკლი კობახიძე - ისე როგორც პრემიერს, სახელმწიფო მინისტრსაც მთლიანად მთავრობის ადმინისტრაციის რესურსი მოემსახურება, აქ საქილიკო არაფერია, თუმცა ოპოზიცია აქაც ახერხებს  სპეკულაციებს - ეს მათი სახეა და არ არის საინტერესო (28.04.2026, 16:17)","Irakli Kobakhidze: Just like the Prime Minister, the State Minister will also be fully supported by the Government Administration’s resources; there is nothing to mock here, although the opposition still speculates - this is their nature and it is not interesting (28.04.2026, 16:30)","Irakli Kobakhidze - Just like the Prime Minister, the State Minister will also be served by the entire resources of the government administration, there is nothing wrong with this, although the opposition manages to speculate here too - this is their nature and is not interesting (28.04.2026, 16:17)","**Irakli Kobakhidze** - Just as with the Prime Minister, the State Minister will be fully served by the resources of the Government Administration; there is nothing to ridicule here, though the opposition manages to speculate even on this – this is their true face and is of no interest (28.04.2026, 16:17)","Irakli Kobakhidze - Just as the Prime Minister, the State Minister will also be served by the full resources of the Government Administration; there is nothing to mock here, although the opposition still manages to engage in speculation on this as well - that is their nature and it is not interesting (28.04.2026, 16:17)",,,
