text,love,joy,anger,sadness,fear,surprise,neutral
I,0,0,0,0,0,0,1
"Honorable Mr. Balkanski,",1,0,0,0,0,0,0
"You may already have forgotten me, but I will remind you of some circumstances, and I believe you will remember who I am. Do you remember when you were traveling through Europe, you also stopped in Prague, and all the Bulgarian students treated you so coldly, even Jireček, while I alone was the only one who invited you to my home and you stayed overnight for several days? Do you remember when you found me with the landlady’s daughter? And do you remember when you were left alone, how they entertained you and you sang to them “Night Is Terrible”? I am the same one, Bodkov; I have now completed my higher education and have returned to my homeland. Since among my acquaintances I have no other influential person besides you, I turn to you with a request and ask you to ask one of the editorial offices of some government newspaper to print the enclosed article, of which I am also sending you a copy, in case it gets lost at the editorial office. I believe that this article is sufficient for the government to form an idea of my views; I am even capable of writing much more than this, if necessary. I have graduated in philosophy, Mr. Balkanski! In addition, I have one request of you: my father is a contractor, and now they are rejecting fifty thousand leva worth of shoes from him, so I will ask you to intercede so that they accept them, just as they accepted from the same material from a Jew. Is that patriotic?",0,1,0,0,0,0,1
"Do not think that I am writing my article to please the government. Not at all. The discarding of the shoes has nothing to do with the article, and at last you should know that I am not a man who trades in his convictions.",0,0,1,0,0,0,1
Please accept the assurance of my highest esteem.,1,0,0,0,0,0,0
Your Bodkov,0,0,0,0,0,0,1
P. S. The editorial staff may alter my contribution as they see fit; I am not a pretentious person.,0,0,0,0,0,0,1
Same,0,0,0,0,0,0,1
P. P. S. The shoes were discarded three days ago.,0,0,0,0,0,0,1
Same,0,0,0,0,0,0,1
Here is the article referred to in the above letter:,0,0,0,0,0,0,1
Copy,0,0,0,0,0,0,1
Letter to the Editor,0,0,0,0,0,0,1
"Mr. Editor,",0,0,0,0,0,0,1
"My blood runs cold in my veins, my brain stiffens against my skull, my heart ceases to beat, and with a tremor of my soul I appeal to the honorable Government and beg it to answer: will there be an end to its patience toward the destructive unbridledness of the opposition press? The people want to know (I can boldly affirm this) when the sacrilegious fingers of the opposition, which dare to touch — oh, horror! — the Virgin and Sacred Person of our common Father, the pledge of our happiness and prosperity, will be broken. Instead of a meek, reverent bow before the bright embodiment of our independence, instead of a kneeling readiness to satisfy the Highest lusts and desires, there appear among us Bulgarians (monstrosities of the Bulgarian people) who dare to ascribe human weaknesses to the untouchable Person!!!... This is more than treason to the interests of the fatherland. This is debauchery unprecedented in history! There were even such ruffians of the pen who rose up and tried to stop and defile the greatest virtue of our municipalities, where they donate municipal forests, islands, and gardens to their Highest Favorite. The greatness of the throne is at the same time the greatness of the people, and instead of being proud that our municipalities visibly demonstrate their love for the Crown and the Dynasty, instead of rejoicing that our until recently wild fatherland is being covered with splendid palaces and villas, there are Bulgarians — imagine it, Bulgarians! — who are still not satisfied after all this! Such malcontents sow debauchery in society, and the Bulgarian people must look upon them with disgust. They are the cause of the moral decline of our society and of that distrust which is instilled between the government and society and so badly affects the people’s livelihood. This distrust harms the private interests of the most respected and conscientious merchants, as is the case with our most esteemed citizen NN, whose shoes made of the finest material were these days rejected by mistake for 50,000 leva. And so, the Government must take measures to shut the mouth of the opposition once and for all. This is the most fervent desire of the Bulgarian people.",0,0,0,0,0,0,0
X. U.,0,0,0,0,0,0,1
"Mr. Editor,",0,0,0,0,0,0,1
I promise you henceforth to write as many such articles against the opposition as you wish; I will only ask that my name remain incognito to the public. I have finished with philosophy.,1,0,0,0,0,0,0
With special respect:,1,0,0,0,0,0,1
Bodkov,0,0,0,0,0,0,1
II,0,0,0,0,0,0,1
"Mr. Bodkov,",0,0,0,0,0,0,1
"It comes to my mind who you were, Your Grace—though I may not remember, I do remember you, and I remember your fiancée too, and her mother was a **zaraarsuz**, wasn’t she? I taught them how to cook this and that, and we even played the piano; I remember it very well. You have mastered the trade, as I see it, you there; this philosophy, it seems, was not meant only to bring out fools. And as for the shoes you write about, you have made a small mistake: that matter does not get settled with a note. You see, the Jew you mention had his shoes accepted—indeed they did accept them—because he knows where Abraham digs roots, so you too should loosen your purse strings. I read your letter from beginning to end and understood what you are so anxious about, but to be an entrepreneur is not a spoonful for every mouth; it is not like philosophy, and you must yourself guess on whom it depends whether your shoes are accepted—on your father, that is. And as for what you say about the dynasty, well, let it be, let it go on; that is the fashion nowadays, after all, and words do not make a hole.",0,0,0,0,0,0,1
Congratulations to you,1,0,0,0,0,0,0
Your Ganyo Balkanski,0,0,0,0,0,0,1
III,0,0,0,0,0,0,1
Most esteemed Mr. Ganyo!,1,0,0,0,0,0,0
"I am addressing you; you are a народен representative, and we ask that in the future such things not be repeated, where an entire regiment has to go through the forest and bark like dogs, and the gentlemen officers beat hares, because we were not sent to learn how to bark, but to defend our fatherland, and completely exhausted, worn out, tears running from your eyes, hungry, and they force you to bark, and it must be done well, like a hound; otherwise, you get beaten for not knowing how to bark like a hunting dog, and they killed only five (5) hares. It is good that they did not injure some soldier, because he would again get beaten for not having guarded himself. Besides that, they assigned me as an orderly, and I wash the child’s little trousers and the python’s as well, I do too. This is a shameful thing, and we ask you to enact a law, and since I have nothing more to write to you, I remain. Tear up the letter.",0,0,0,0,0,0,1
Your obedient servant,1,0,0,0,0,0,0
"Trapko Trapkov, junior soldier.",0,0,0,0,0,0,1
IV,0,0,0,0,0,0,1
"Mr. Trŭpko,",0,0,0,0,0,0,1
"Aren’t you Trъпko Komitata’s son? I know your father. As for what you say—that they made you bark at rabbits in the forest—I heard that too, but patience brings salvation, as the saying goes; one shouldn’t kick against the pricks. After all, we endured the Turks our whole lives; what’s the big deal about enduring Bulgarians for two years? It’s no great matter. And as for the little underpants, that’s not good for a man; it’s women’s work. But what can you do—wash the underpants and turn your head away; politics requires it that way. You know what they’re like, but you just keep blinking and endure, and send your father my regards, don’t forget. Patience, nothing else—these things are sorted out with patience, not with uproar. A submissive head, you know, the sword does not cut it.",0,0,1,0,0,0,1
Your well-wisher,1,0,0,0,0,0,1
Ganyo Balkanski,0,0,0,0,0,0,1
V,0,0,0,0,0,0,1
"Dear Uncle Ganyo,",1,0,0,0,0,0,0
"I want to send our Rada abroad to study this year, but so that there won’t be any expenses, I beg you to act there before the bigwigs so that they may send me on some assignment, to study certain questions or for some agitation: for example, I could study the question of getting our homespun cloth introduced for the Belgian army, or study in Switzerland the ethnography of the Vlachs, or something similar. If they want, they can invent ninety-nine assignments. I am also agreeable to three napoleons a day. Reply to me as soon as possible.",1,0,0,0,0,0,1
Your loyal ally and relative,1,0,0,0,0,0,1
Vasil,0,0,0,0,0,0,1
"P. S. And you won’t be left without benefit from this business trip either. If they ask you about my education, tell them that although I don’t have a diploma, I have read a great deal, and it’s as if I have a higher education.",1,0,0,0,0,0,1
Same,0,0,0,0,0,0,1
"I could not find an answer to this letter in Bay Ganyo’s notebook, but in the envelope I found a draft of the following telegram:",0,0,0,0,0,0,1
Quick,0,0,0,0,0,0,1
Zheravna,0,0,0,0,0,0,1
Vasil Mangov,0,0,0,0,0,0,1
"You’re very late, Vasile; someone else, more educated than you, has already been assigned to these matters.",0,0,0,0,0,0,1
Balkan,0,0,0,0,0,0,1
VI,0,0,0,0,0,0,1
"Most esteemed Uncle Ganyo,",1,0,0,0,0,0,0
"Man proposes, but God disposes: all the plans we had made for my future have been shattered to dust. My career is utterly ruined. I have been expelled from school and am doomed to three years of servitude in the convict companies, and the cause of it all is that cursed Bulgarian orthography: lately a new fashion has appeared, namely that foreign words and names should be written as they are supposedly pronounced, for example, not to write *minister*, but *ministar*, not to write *ensemble*, but *ansambal*, not to write *Bokl*, but to write *Bokal*, because this was supposedly more in keeping with the Bulgarian language, as if the property of our language were necessarily to draw near to Afghan. We opposed our learned instructors, and they declared us rebels. On the very day of the Nativity of Jesus Christ, the Savior of mankind, under a mounted gendarme escort, we, footsore unwilling tourists, were driven along the snowy roads of Mother Bulgaria, and we march, march from stage to stage, sleep at the stations, clerks receive us, gendarmes send us off, and where they are taking us, we ourselves do not know. They say that, in order to make Bulgarian orthography triumph, they have found it useful to educate us for three years in the convict companies. Who knows! Perhaps this miracle too will come to pass. I have now been brought here, to your town, and I am writing this letter from the detention room. If you please, come so that we may see each other, and bring a doctor, because I do not know whether it is from the journey or from the cold, but these days I have begun to cough up blood.",0,0,0,1,0,0,1
Your nephew,0,0,0,0,0,0,1
Stoiko,0,0,0,0,0,0,1
"P. S. I have heard, uncle, that the Turks had a custom on the great holidays, such as Christmas and Easter, to release Christian prisoners on bail so that they could see their loved ones and spend the holy days. Is that true, uncle?",0,1,0,0,0,0,1
Same,0,0,0,0,0,0,1
"Dear grandson Stoyko,",1,0,0,0,0,0,1
"Whatever you were looking for, uncle’s boy, that’s what you found. Who’s to blame? I wonder how they didn’t give you a beating on top of that as well. Of course. Are we playing with walnuts here, or governing a kingdom? What kind of freedom is this? What are you telling me about the Turks, that they were more merciful? They are not merciful, but fools. If they were smart, they wouldn’t give their kingdom to someone else. If you ask me, I’m glad, indeed, that at last they’ve got hold of you properly. Go now and wander through the police stations and barracks until you come to your senses, so you’ll remember when you were sticking your head up. I couldn’t understand from your letter what the reason was; you write to me about some Bokol-Mokol, but I don’t believe you, even though I don’t understand grammar. Who knows what mischief you’ve done again. I don’t have time to go around the police stations and compromise myself before the great men by meeting with rebels. How many times have I taught you that a bowed head is not cut by a sword. You didn’t listen to me — now break your own head. Whatever you were looking for, uncle’s boy, that’s what you found.",0,1,0,0,0,0,0
Your well-wisher,1,0,0,0,0,0,1
Ganyo Balkanski,0,0,0,0,0,0,1
