text,love,joy,anger,sadness,fear,surprise,neutral
"— Dravichkata, gentlemen, tells stories so well that it will be hard to please you with a tale after him. And to tell you the truth, I also know a thing or two about Bai Ganyo — Vasil spoke up. — From Moscow, from Petersburg!",0,0,0,0,0,0,1
"— Get on with it already, stop beating around the bush! — Dravichkata replied.",0,0,1,0,0,0,1
"— The word ""twisted"" doesn't strike me as extraordinarily poetic — Mato joked.",0,1,0,0,0,0,1
"— Quiet now, gentlemen. Vasil! Come on, my dear fellow, begin!",0,0,0,0,0,0,1
"— On the way to Petersburg — Vasil began — we stopped at the station in Vilno. We were traveling together as a pair — Bay Ganyo and I. We went into the buffet. Bay Ganyo insisted that I treat him, since I had been smoking his tobacco along the way. I ordered beer and a snack. The buffet manager listened to our conversation, realized, it seemed, that I was Bulgarian, and asked us in Russian: — Excuse me, gentlemen, I believe you are Bulgarians?",0,0,0,0,0,1,1
We answered him affirmatively.,0,0,0,0,0,0,1
"— Don't you know Mr. Dimitrov, the student?",0,1,0,0,0,0,1
"— I don't know him, do you know him, Bay Ganyo!",0,0,0,0,0,0,1
"— Dimitrova? Wait... aha! I remember. Dimitrov, I know, I know him. A sharp lad, I know him, of course!",0,0,0,0,0,0,1
— Can't you tell me where he is now? — asked the innkeeper.,0,1,0,0,0,0,1
— He is in Constantinople now — replied Bay Ganyo — he’ll be getting married there in a week. He’s hit the jackpot!,0,0,0,0,0,0,1
"— Wh-at! — cried the innkeeper, as if thunderstruck. — He is to be mar-ried? Why, he was married here, gentlemen!...",0,1,0,0,0,0,1
"— You bet. Look, ha, ha, ha! — Bay Ganyo cackled heartily. The innkeeper looked at him in wonder.",0,1,0,0,0,0,0
"— You don't know him — continued Bay Ganyo, turning to me, — he's an awfully sharp kid, that Dimitrov...",0,0,0,0,0,0,1
"I promised the innkeeper that as soon as I reached Petersburg, I would inform a gentleman who, I was certain, would immediately telegraph the Exarchate. I settled my bill. We boarded the train and set off for Petersburg.",0,0,0,0,0,0,1
"— You just had to go and interfere — Bay Ganyo said to me reproachfully, — how do you know what sort of woman his wife here is.",0,1,1,0,0,0,0
"We were traveling in third class. Bay Ganyo took up two seats and lay down to take a nap. At the next station, several more passengers entered our carriage and the extra seats had to be yielded to them, but Bay Ganyo is no fool — he pretends to be asleep and snores and snores. A giant of a German, a peasant, approached Bay Ganyo with a bag in hand and began to wake him, nudging him lightly on his boots. Bay Ganyo keeps quiet and just lets out a *hrrr... puff... hrrr... puff...* and, having covered his face from the German, winks at me, as if to say, ""look how clever I am."" ""Nu, get up!"" the German shouted and began to poke my companion quite palpably. *Hrrr... puff!...* ""Nu, don't pretend, you devil!"" the German growled and with one sweep brushed aside Bay Ganyo's legs, sent him tumbling over his saddlebags, and sat down with us. Bay Ganyo pretended to be startled, rubbed his eyes, and immediately, as if nothing had happened, took out his cigarette case and offered it open to the German: ""Bulgarian tobacco!""",0,0,0,0,0,0,1
"— Ah, so you're Bulgarians! Very pleased to meet you — the German said good-naturedly and began to roll himself a cigarette. — You're going to Piter. Me too. Together, then.",0,1,0,0,0,0,0
"As soon as we arrived in St. Petersburg, I hastened to fulfill the promise I had made to the innkeeper in Vilno. I met with an acquaintance of mine and told him about Dimitrov’s escapade. He immediately telegraphed Constantinople and managed to stop the impending wedding. He, in turn, told me the rest of the story about the deaf-mute boy. It is not known when or how he had been coached to run away from Vilno, but one day he arrived in St. Petersburg, where for a long time he was the victim of the basest exploitation by Dimitrov, who not only pocketed the sums sent by the unfortunate boy’s brother but also forced the poor child to go from door to door, visiting all the more influential figures and well-known philanthropists in St. Petersburg to beg for money. And not only in St. Petersburg, but he often sent him as far as Kronstadt, to the famous saint of the common folk, John of Kronstadt...",0,0,0,0,0,0,1
"Having almost no means of subsistence, I was forced to live in the Deshovka, a refuge for the poorest of students. Bay Ganyo most energetically insisted on coming to the Deshovka as well.",0,0,0,0,0,0,1
"— Look, you can’t, Bai Ganyo, this place is only for students.",0,0,1,0,0,0,1
"— So what if it’s for students — Bay Ganyo was trying to convince me, — aren’t students people like me? Is it such a big deal if they take in a Bulgarian for once?",0,1,0,0,0,0,1
"— But you are a rich man, Bay Ganyo, you can afford to pay for a hotel.",1,0,0,0,0,0,1
"— What a simpleton you are — Bay Ganyo reproached me, — I thought you were shrewder. Hey there, fellow Bulgarian, why should we give our money to the Muscovites? If you stumble upon a windfall, grab it with both hands! How are they to know what my situation is?",0,1,0,0,0,0,0
"— It’s not possible, Bay Ganyo; the poor students will protest, they’ll be angry with me, and they might even kick me out of the dormitory.",0,0,1,0,0,0,0
"— Stubborn Bulgarian head! — Bay Ganyo continued. — Don't you have a tongue in your head? Aren't you sharp enough to tell them that I'm your brother, that I'm a man in distress; why, it's enough just to say I'm Bulgarian—you know what simpletons those Russians are!...",0,0,0,0,0,0,1
"— No, no, I can't! — I cried out resolutely and started toward Deshovka.",0,0,1,0,0,0,0
"— Oho! You think you’ll shake me off that easily! Just you wait! You haven't seen anything yet! — Bay Ganyo grumbles, following behind me. — A Bulgarian! And he calls himself a Bulgarian! Not a penny's worth of patriotism!... Wait up, man, don't rush so much, I can't catch up with you, my saddlebags are heavy! Wait up, fellow Bulgarian!...",0,0,0,0,0,0,1
"At that moment, we must have presented quite a curious sight, for the people passing by on the sidewalks turned and looked at us intently. Bay Ganyo was ten paces behind me, his saddlebags slung over his shoulder on his cane, his rug draped over his other arm, which he raised every now and then to wipe his sweaty brow. His fur cap was barely clinging to the crown of his head. Bay Ganyo strode after me, grumbling: ""Wait, for God's sake, man, at least take the rug, it's breaking my arm... You think you can shake me off! You don't know what a piece of work your Bay Ganyo is!..."" I was treading carefully, calculating in my mind how I would show up with Bay Ganyo at Deshovka’s and how I would justify this impulsive move. I’ll have to lie! And yet I saw that shaking him off was unthinkable! Finally, since it was only a matter of a few days, I reluctantly resigned myself to the situation. And Bay Ganyo kept walking and walking behind me, still grumbling, but he dropped his tough-guy talk and began in a minor key: ""Listen here, Bay Vasil, wait a moment, please, Bay Vasil, we're Bulgarians after all...""",0,0,0,0,0,0,1
