text,love,joy,anger,sadness,fear,surprise,neutral
"— Чухте ли новината? — извика Марк Аврелий, щом отвори вратата и се втурна запъхтян в стаята.",0,0,0,0,0,0,1
— Каква новина? — обадихме се всички.,0,0,0,0,0,0,1
— Бай Ганьо се върнал от Европа!,0,0,0,0,0,0,1
— Не може да бъде!,0,0,0,0,0,0,1
"— Как „не може да бъде“ бе, господа, аз го видях, говорих с него... Първата му дума... ха-ха-ха!... Първата му дума: оплес... ха-ха-ха!... Оплескахме я, кай, ний нея... ха-ха-ха...",0,0,0,0,0,0,1
"— Стига си се кикотил бе — извика с нетърпение Арпакаша, — разказвай. Искаш ли чай?",0,0,0,0,0,0,1
"— Арпакаш, дай да те цункам между очичките...",0,0,0,0,0,0,1
"— Говедо! — изпусна с добродушна усмивка Арпакаш и подаде една чаша чай на Марк Аврелия, като го дръпна със свободната си ръка за къдравия мустак. — Оберговедо!",0,0,0,0,0,0,1
"— Капитан, не крути, пожалуйста, параход — пошегува се Марк Аврелий, отсръбна от чашата и ни разказа следното:",0,0,0,0,0,0,1
"— Въобразете си, господа, какво щастие, преди няколко дена, на 22-й (Альоша, твойто любимо число), в неделя, отидохме с Герванича на Искърските ханчета, към Враждебна; заварихме там сума свят...",0,0,0,0,0,0,1
— Урвичците не бяха ли там?...,0,0,0,0,0,0,1
"— Не, не бяха, те бяха на техния Урвич... Недей ме прекъсва, Арпакаш... Сума свят имаше, повечето иностранци — немци, чехи — и ни един, ама положително ни един от тия вкаменени от апатия шопи... Само дядо Хаджи мина за чифлика си. Времето, както знаете, беше чудесно; ония ти ливади, ония ниви, оная прясна зеленина на гората, да не можеш да се надишаш... Чужденците дошли с целите си семейства, надомъкнали провизия, постилки, люлки за децата; насядали са сам-там като букети под сенките и си пируват хората. Да ти е драго да ги гледаш. И не да речеш някои заможни, охолни хора, не, а все еснаф, работен свят — тенекеджии, железари, дърводелци. Работи шест дни — седмия гуляй! А не кат вашите милости да се завирате из задимените кафенета с вашата проклета „бачка“...",0,0,0,0,0,0,1
"— Марк Аврелий! Тебе ли чувам, гълъбче? Иван Златоуст, дай да те цункам!...",0,0,0,0,0,0,1
"— Млъкни, Арпакаш, недей ме прекъсва...",0,0,0,0,0,0,1
"— Хей, Амонасро, не прекъсвай човека — обади се Мойше.",0,0,0,0,0,0,1
"— Ама наистина бе, господа — продължава шегата си Арпакаша с маслен поглед, — кажете, не е ли сладък Марк Аврелий особено като изговаря тази хубава думица „бачка“, туй че цяла музика...",0,0,0,0,0,0,1
"— Ще млъкнеш ли ти, Амонасро Етиопский?...",0,0,0,0,0,0,1
"— И не забелязахте ли, господа, каква бездънна омраза питае нашият сладчайши Марк Аврелий към тази бачка.",0,0,0,0,0,0,1
"— Слушай, Амонасро, млъкни или ще накарам Мойше да ти налее цяла чаша коняк в гърлото.",0,0,0,0,0,0,1
"— Но ка-кви зев-зе-ци наш-ти, кат видели ба-ба с га-щи, всич-ки-те го по-ди-гра-ли и мо-ма-та му не да-ли, таааа-ра-ра-бум-бие, та-рара бум...",0,0,0,0,0,0,1
"— Ти си луд, Арпакаш, ей богу, луд си — каза с лек укор Марк Аврелий, — постой малко мирен, моля ти се...",0,0,0,0,0,0,1
"— Артък веке, Арпакаш! — обади се Ожилката.",0,0,0,0,0,0,1
"— И ти ли, Ожилка, и ти ли, Бруте! Я запей ти „Снощи си минах край Севлиево.“",0,0,0,0,0,0,1
— Долу Арпакаша! — извика Мойше и след него цялата компания зарева „долу!“ и накараха най-сетне етиопския цар да млъкне.,0,0,0,0,0,0,1
Марк Аврелий продължи:,0,0,0,0,0,0,1
